timestamp,temperatura_carga_c
2024-06-02 01:52:00,-11.75
2024-06-02 01:53:00,-11.84
2024-06-02 01:54:00,-11.98
2024-06-02 01:55:00,-11.91
2024-06-02 01:56:00,-12.00
2024-06-02 01:57:00,-11.91
2024-06-02 01:58:00,-12.06
2024-06-02 01:59:00,-11.87
2024-06-02 02:00:00,-10.43
2024-06-02 02:01:00,-10.93
2024-06-02 02:02:00,-11.51
2024-06-02 02:03:00,-11.52
2024-06-02 02:04:00,-11.80
2024-06-02 02:05:00,-11.72
2024-06-02 02:06:00,-11.77
2024-06-02 02:07:00,-11.88
2024-06-02 02:08:00,-11.79
2024-06-02 02:09:00,-11.73
2024-06-02 02:10:00,-11.78
2024-06-02 02:11:00,-11.64
2024-06-02 02:12:00,-11.64
2024-06-02 02:13:00,-11.49
2024-06-02 02:14:00,-11.68
2024-06-02 02:15:00,-11.63
2024-06-02 02:16:00,-11.46
2024-06-02 02:17:00,-11.35
2024-06-02 02:18:00,-11.48
2024-06-02 02:19:00,-11.33
2024-06-02 02:20:00,-11.36
2024-06-02 02:21:00,-11.31
2024-06-02 02:22:00,-11.30
2024-06-02 02:23:00,-11.40
2024-06-02 02:24:00,-11.48
2024-06-02 02:25:00,-11.43
2024-06-02 02:26:00,-11.43
2024-06-02 02:27:00,-11.55
2024-06-02 02:28:00,-11.59
2024-06-02 02:29:00,-11.45
2024-06-02 02:30:00,-11.56
2024-06-02 02:31:00,-11.70
2024-06-02 02:32:00,-11.55
2024-06-02 02:33:00,-11.50
2024-06-02 02:34:00,-11.59
2024-06-02 02:35:00,-11.66
2024-06-02 02:36:00,-11.66
2024-06-02 02:37:00,-11.53
2024-06-02 02:38:00,-11.67
2024-06-02 02:39:00,-11.54
2024-06-02 02:40:00,-11.59
2024-06-02 02:41:00,-11.65
2024-06-02 02:42:00,-11.52
2024-06-02 02:43:00,-11.55
2024-06-02 02:44:00,-11.30
2024-06-02 02:45:00,-11.43
2024-06-02 02:46:00,-11.37
2024-06-02 02:47:00,-11.25
2024-06-02 02:48:00,-11.24
2024-06-02 02:49:00,-11.26
2024-06-02 02:50:00,-11.26
2024-06-02 02:51:00,-11.18
2024-06-02 02:52:00,-11.22
2024-06-02 02:53:00,-11.13
2024-06-02 02:54:00,-11.02
2024-06-02 02:55:00,-11.11
2024-06-02 02:56:00,-11.01
2024-06-02 02:57:00,-11.02
2024-06-02 02:58:00,-11.20
2024-06-02 02:59:00,-11.22
2024-06-02 03:00:00,-11.15
2024-06-02 03:01:00,-11.17
2024-06-02 03:02:00,-11.24
2024-06-02 03:03:00,-11.22
2024-06-02 03:04:00,-11.09
2024-06-02 03:05:00,-11.32
2024-06-02 03:06:00,-11.32
2024-06-02 03:07:00,-11.37
2024-06-02 03:08:00,-11.38
2024-06-02 03:09:00,-11.39
2024-06-02 03:10:00,-11.18
2024-06-02 03:11:00,-11.30
2024-06-02 03:12:00,-11.25
2024-06-02 03:13:00,-11.24
2024-06-02 03:14:00,-11.13
2024-06-02 03:15:00,-11.13
2024-06-02 03:16:00,-11.11
2024-06-02 03:17:00,-11.03
2024-06-02 03:18:00,-11.03
2024-06-02 03:19:00,-10.96
2024-06-02 03:20:00,-11.01
2024-06-02 03:21:00,-11.06
2024-06-02 03:22:00,-10.92
2024-06-02 03:23:00,-10.80
2024-06-02 03:24:00,-10.97
2024-06-02 03:25:00,-10.93
2024-06-02 03:26:00,-10.89
2024-06-02 03:27:00,-10.76
2024-06-02 03:28:00,-10.65
2024-06-02 03:29:00,-10.83
2024-06-02 03:30:00,-10.68
2024-06-02 03:31:00,-10.83
2024-06-02 03:32:00,-10.78
2024-06-02 03:33:00,-10.76
2024-06-02 03:34:00,-10.81
2024-06-02 03:35:00,-10.84
2024-06-02 03:36:00,-10.81
2024-06-02 03:37:00,-10.80
2024-06-02 03:38:00,-10.74
2024-06-02 03:39:00,-10.96
2024-06-02 03:40:00,-10.86
2024-06-02 03:41:00,-10.96
2024-06-02 03:42:00,-10.94
2024-06-02 03:43:00,-10.81
2024-06-02 03:44:00,-10.82
2024-06-02 03:45:00,-11.01
2024-06-02 03:46:00,-11.01
2024-06-02 03:47:00,-10.94
2024-06-02 03:48:00,-10.95
2024-06-02 03:49:00,-10.82
2024-06-02 03:50:00,-10.93
2024-06-02 03:51:00,-10.71
2024-06-02 03:52:00,-10.87
2024-06-02 03:53:00,-10.76
2024-06-02 03:54:00,-10.81
2024-06-02 03:55:00,-10.59
2024-06-02 03:56:00,-10.52
2024-06-02 03:57:00,-10.48
2024-06-02 03:58:00,-10.50
2024-06-02 03:59:00,-10.43
2024-06-02 04:00:00,-10.46
2024-06-02 04:01:00,-10.43
2024-06-02 04:02:00,-10.36
2024-06-02 04:03:00,-10.29
2024-06-02 04:04:00,-10.30
2024-06-02 04:05:00,-10.36
2024-06-02 04:06:00,-10.40
2024-06-02 04:07:00,-10.42
2024-06-02 04:08:00,-10.50
2024-06-02 04:09:00,-10.35
2024-06-02 04:10:00,-10.35
2024-06-02 04:11:00,-10.38
2024-06-02 04:12:00,-10.50
2024-06-02 04:13:00,-10.54
2024-06-02 04:14:00,-10.52
2024-06-02 04:15:00,-10.51
2024-06-02 04:16:00,-10.43
2024-06-02 04:17:00,-10.49
2024-06-02 04:18:00,-10.61
2024-06-02 04:19:00,-10.50
2024-06-02 04:20:00,-10.48
2024-06-02 04:21:00,-10.66
2024-06-02 04:22:00,-10.56
2024-06-02 04:23:00,-10.47
2024-06-02 04:24:00,-10.46
2024-06-02 04:25:00,-10.49
2024-06-02 04:26:00,-10.40
2024-06-02 04:27:00,-10.53
2024-06-02 04:28:00,-10.42
2024-06-02 04:29:00,-10.25
2024-06-02 04:30:00,-10.38
2024-06-02 04:31:00,-10.26
2024-06-02 04:32:00,-10.23
2024-06-02 04:33:00,-10.14
2024-06-02 04:34:00,-10.07
2024-06-02 04:35:00,-10.16
2024-06-02 04:36:00,-10.16
2024-06-02 04:37:00,-10.08
2024-06-02 04:38:00,-10.01
2024-06-02 04:39:00,-10.05
2024-06-02 04:40:00,-9.91
2024-06-02 04:41:00,-9.96
2024-06-02 04:42:00,-10.09
2024-06-02 04:43:00,-10.08
2024-06-02 04:44:00,-9.92
2024-06-02 04:45:00,-10.06
2024-06-02 04:46:00,-9.98
2024-06-02 04:47:00,-10.05
2024-06-02 04:48:00,-10.01
2024-06-02 04:49:00,-10.10
2024-06-02 04:50:00,-10.14
2024-06-02 04:51:00,-10.09
2024-06-02 04:52:00,-10.10
2024-06-02 04:53:00,-10.27
2024-06-02 04:54:00,-10.17
2024-06-02 04:55:00,-10.25
2024-06-02 04:56:00,-10.11
2024-06-02 04:57:00,-10.14
2024-06-02 04:58:00,-10.16
2024-06-02 04:59:00,-10.06
2024-06-02 05:00:00,-10.05
2024-06-02 05:01:00,-9.97
2024-06-02 05:02:00,-10.17
2024-06-02 05:03:00,-10.01
2024-06-02 05:04:00,-9.93
2024-06-02 05:05:00,-9.98
2024-06-02 05:06:00,-9.78
2024-06-02 05:07:00,-9.89
2024-06-02 05:08:00,-9.75
2024-06-02 05:09:00,-9.86
2024-06-02 05:10:00,-9.67
2024-06-02 05:11:00,-9.68
2024-06-02 05:12:00,-9.70
2024-06-02 05:13:00,-9.77
2024-06-02 05:14:00,-9.74
2024-06-02 05:15:00,-9.60
2024-06-02 05:16:00,-9.56
2024-06-02 05:17:00,-9.52
2024-06-02 05:18:00,-9.61
2024-06-02 05:19:00,-9.59
2024-06-02 05:20:00,-9.78
2024-06-02 05:21:00,-9.66
2024-06-02 05:22:00,-9.75
2024-06-02 05:23:00,-9.73
2024-06-02 05:24:00,-9.79
2024-06-02 05:25:00,-9.68
2024-06-02 05:26:00,-9.76
2024-06-02 05:27:00,-9.84
2024-06-02 05:28:00,-9.91
2024-06-02 05:29:00,-9.94
2024-06-02 05:30:00,-9.82
2024-06-02 05:31:00,-9.93
2024-06-02 05:32:00,-9.79
2024-06-02 05:33:00,-9.88
2024-06-02 05:34:00,-9.85
2024-06-02 05:35:00,-9.64
2024-06-02 05:36:00,-9.76
2024-06-02 05:37:00,-9.77
2024-06-02 05:38:00,-9.61
2024-06-02 05:39:00,-9.51
2024-06-02 05:40:00,-9.68
2024-06-02 05:41:00,-9.56
2024-06-02 05:42:00,-9.42
2024-06-02 05:43:00,-9.39
2024-06-02 05:44:00,-9.32
2024-06-02 05:45:00,-9.37
2024-06-02 05:46:00,-9.44
2024-06-02 05:47:00,-9.25
2024-06-02 05:48:00,-9.25
2024-06-02 05:49:00,-9.25
2024-06-02 05:50:00,-9.32
2024-06-02 05:51:00,-9.14
2024-06-02 05:52:00,-9.37
2024-06-02 05:53:00,-9.20
2024-06-02 05:54:00,-9.20
2024-06-02 05:55:00,-9.27
2024-06-02 05:56:00,-9.34
2024-06-02 05:57:00,-9.39
2024-06-02 05:58:00,-9.41
2024-06-02 05:59:00,-9.45
2024-06-02 06:00:00,-9.38
2024-06-02 06:01:00,-9.30
2024-06-02 06:02:00,-9.53
2024-06-02 06:03:00,-9.50
2024-06-02 06:04:00,-9.34
2024-06-02 06:05:00,-9.44
2024-06-02 06:06:00,-9.54
2024-06-02 06:07:00,-9.54
2024-06-02 06:08:00,-9.41
2024-06-02 06:09:00,-9.45
2024-06-02 06:10:00,-9.34
2024-06-02 06:11:00,-9.24
2024-06-02 06:12:00,-9.26
2024-06-02 06:13:00,-9.37
2024-06-02 06:14:00,-9.24
2024-06-02 06:15:00,-9.29
2024-06-02 06:16:00,-9.09
2024-06-02 06:17:00,-9.16
2024-06-02 06:18:00,-9.03
2024-06-02 06:19:00,-9.08
2024-06-02 06:20:00,-9.01
2024-06-02 06:21:00,-9.06
2024-06-02 06:22:00,-8.80
2024-06-02 06:23:00,-8.92
2024-06-02 06:24:00,-8.81
2024-06-02 06:25:00,-8.95
2024-06-02 06:26:00,-8.76
2024-06-02 06:27:00,-8.82
2024-06-02 06:28:00,-9.00
2024-06-02 06:29:00,-8.96
2024-06-02 06:30:00,-8.94
2024-06-02 06:31:00,-9.03
2024-06-02 06:32:00,-8.91
2024-06-02 06:33:00,-9.03
2024-06-02 06:34:00,-9.05
2024-06-02 06:35:00,-9.12
2024-06-02 06:36:00,-9.07
2024-06-02 06:37:00,-9.11
2024-06-02 06:38:00,-9.14
2024-06-02 06:39:00,-9.11
2024-06-02 06:40:00,-9.13
2024-06-02 06:41:00,-9.05
2024-06-02 06:42:00,-8.94
2024-06-02 06:43:00,-8.92
2024-06-02 06:44:00,-9.02
2024-06-02 06:45:00,-9.05
2024-06-02 06:46:00,-8.95
2024-06-02 06:47:00,-8.88
2024-06-02 06:48:00,-8.88
2024-06-02 06:49:00,-8.88
2024-06-02 06:50:00,-8.78
2024-06-02 06:51:00,-8.84
2024-06-02 06:52:00,-8.73
2024-06-02 06:53:00,-8.74
2024-06-02 06:54:00,-8.51
2024-06-02 06:55:00,-8.63
2024-06-02 06:56:00,-8.48
2024-06-02 06:57:00,-8.56
2024-06-02 06:58:00,-8.52
2024-06-02 06:59:00,-8.49
2024-06-02 07:00:00,-8.41
2024-06-02 07:01:00,-8.37
2024-06-02 07:02:00,-8.48
2024-06-02 07:03:00,-8.52
2024-06-02 07:04:00,-8.45
2024-06-02 07:05:00,-8.41
2024-06-02 07:06:00,-8.45
2024-06-02 07:07:00,-8.46
2024-06-02 07:08:00,-8.67
2024-06-02 07:09:00,-8.71
2024-06-02 07:10:00,-8.65
2024-06-02 07:11:00,-8.69
2024-06-02 07:12:00,-8.58
2024-06-02 07:13:00,-8.56
2024-06-02 07:14:00,-8.74
2024-06-02 07:15:00,-8.65
2024-06-02 07:16:00,-8.69
2024-06-02 07:17:00,-8.55
2024-06-02 07:18:00,-8.69
2024-06-02 07:19:00,-8.66
2024-06-02 07:20:00,-8.52
2024-06-02 07:21:00,-8.43
2024-06-02 07:22:00,-8.60
2024-06-02 07:23:00,-8.52
2024-06-02 07:24:00,-8.33
2024-06-02 07:25:00,-8.31
2024-06-02 07:26:00,-8.34
2024-06-02 07:27:00,-8.24
2024-06-02 07:28:00,-8.13
2024-06-02 07:29:00,-8.18
2024-06-02 07:30:00,-8.26
2024-06-02 07:31:00,-8.15
2024-06-02 07:32:00,-8.19
2024-06-02 07:33:00,-8.03
2024-06-02 07:34:00,-8.17
2024-06-02 07:35:00,-8.04
2024-06-02 07:36:00,-8.02
2024-06-02 07:37:00,-8.20
2024-06-02 07:38:00,-7.99
2024-06-02 07:39:00,-8.17
2024-06-02 07:40:00,-8.13
2024-06-02 07:41:00,-8.13
2024-06-02 07:42:00,-8.20
2024-06-02 07:43:00,-8.10
2024-06-02 07:44:00,-8.31
2024-06-02 07:45:00,-8.13
2024-06-02 07:46:00,-8.30
2024-06-02 07:47:00,-8.28
2024-06-02 07:48:00,-8.36
2024-06-02 07:49:00,-8.26
2024-06-02 07:50:00,-8.20
2024-06-02 07:51:00,-8.22
2024-06-02 07:52:00,-8.34
2024-06-02 07:53:00,-8.11
2024-06-02 07:54:00,-8.07
2024-06-02 07:55:00,-8.25
2024-06-02 07:56:00,-8.12
2024-06-02 07:57:00,-8.03
2024-06-02 07:58:00,-7.96
2024-06-02 07:59:00,-8.04
2024-06-02 08:00:00,-7.99
2024-06-02 08:01:00,-7.80
2024-06-02 08:02:00,-7.86
2024-06-02 08:03:00,-7.89
2024-06-02 08:04:00,-7.72
2024-06-02 08:05:00,-7.83
2024-06-02 08:06:00,-7.68
2024-06-02 08:07:00,-7.71
2024-06-02 08:08:00,-7.80
2024-06-02 08:09:00,-7.63
2024-06-02 08:10:00,-7.64
2024-06-02 08:11:00,-7.79
2024-06-02 08:12:00,-7.62
2024-06-02 08:13:00,-7.80
2024-06-02 08:14:00,-7.72
2024-06-02 08:15:00,-7.69
2024-06-02 08:16:00,-7.69
2024-06-02 08:17:00,-7.74
2024-06-02 08:18:00,-7.83
2024-06-02 08:19:00,-7.72
2024-06-02 08:20:00,-7.83
2024-06-02 08:21:00,-7.89
2024-06-02 08:22:00,-7.78
2024-06-02 08:23:00,-7.80
2024-06-02 08:24:00,-7.90
2024-06-02 08:25:00,-7.88
2024-06-02 08:26:00,-7.80
2024-06-02 08:27:00,-7.74
2024-06-02 08:28:00,-7.81
2024-06-02 08:29:00,-7.79
2024-06-02 08:30:00,-7.64
2024-06-02 08:31:00,-7.62
2024-06-02 08:32:00,-7.57
2024-06-02 08:33:00,-7.68
2024-06-02 08:34:00,-7.61
2024-06-02 08:35:00,-7.44
2024-06-02 08:36:00,-7.48
2024-06-02 08:37:00,-7.57
2024-06-02 08:38:00,-7.51
2024-06-02 08:39:00,-7.34
2024-06-02 08:40:00,-7.43
2024-06-02 08:41:00,-7.30
2024-06-02 08:42:00,-7.24
2024-06-02 08:43:00,-7.34
2024-06-02 08:44:00,-7.15
2024-06-02 08:45:00,-7.35
2024-06-02 08:46:00,-7.36
2024-06-02 08:47:00,-7.25
2024-06-02 08:48:00,-7.29
2024-06-02 08:49:00,-7.28
2024-06-02 08:50:00,-7.36
2024-06-02 08:51:00,-7.22
2024-06-02 08:52:00,-7.40
2024-06-02 08:53:00,-7.44
2024-06-02 08:54:00,-7.35
2024-06-02 08:55:00,-7.29
2024-06-02 08:56:00,-7.54
2024-06-02 08:57:00,-7.44
2024-06-02 08:58:00,-7.35
2024-06-02 08:59:00,-7.40
2024-06-02 09:00:00,-7.42
2024-06-02 09:01:00,-7.47
2024-06-02 09:02:00,-7.35
2024-06-02 09:03:00,-7.28
2024-06-02 09:04:00,-7.27
2024-06-02 09:05:00,-7.37
2024-06-02 09:06:00,-7.38
2024-06-02 09:07:00,-7.33
2024-06-02 09:08:00,-7.28
2024-06-02 09:09:00,-7.08
2024-06-02 09:10:00,-7.06
2024-06-02 09:11:00,-7.17
2024-06-02 09:12:00,-6.96
2024-06-02 09:13:00,-7.06
2024-06-02 09:14:00,-7.08
2024-06-02 09:15:00,-6.83
2024-06-02 09:16:00,-6.80
2024-06-02 09:17:00,-6.80
2024-06-02 09:18:00,-6.79
2024-06-02 09:19:00,-6.75
2024-06-02 09:20:00,-6.83
2024-06-02 09:21:00,-6.88
2024-06-02 09:22:00,-6.82
2024-06-02 09:23:00,-6.80
2024-06-02 09:24:00,-6.90
2024-06-02 09:25:00,-6.88
2024-06-02 09:26:00,-6.90
2024-06-02 09:27:00,-6.89
2024-06-02 09:28:00,-6.82
2024-06-02 09:29:00,-6.93
2024-06-02 09:30:00,-6.97
2024-06-02 09:31:00,-7.05
2024-06-02 09:32:00,-6.99
2024-06-02 09:33:00,-6.92
2024-06-02 09:34:00,-6.96
2024-06-02 09:35:00,-6.99
2024-06-02 09:36:00,-6.98
2024-06-02 09:37:00,-7.02
2024-06-02 09:38:00,-6.95
2024-06-02 09:39:00,-6.95
2024-06-02 09:40:00,-6.99
2024-06-02 09:41:00,-6.87
2024-06-02 09:42:00,-6.78
2024-06-02 09:43:00,-6.79
2024-06-02 09:44:00,-6.73
2024-06-02 09:45:00,-6.69
2024-06-02 09:46:00,-6.60
2024-06-02 09:47:00,-6.61
2024-06-02 09:48:00,-6.44
2024-06-02 09:49:00,-6.51
2024-06-02 09:50:00,-6.59
2024-06-02 09:51:00,-6.48
2024-06-02 09:52:00,-6.35
2024-06-02 09:53:00,-6.50
2024-06-02 09:54:00,-6.40
2024-06-02 09:55:00,-6.48
2024-06-02 09:56:00,-6.36
2024-06-02 09:57:00,-6.35
2024-06-02 09:58:00,-6.36
2024-06-02 09:59:00,-6.52
2024-06-02 10:00:00,-6.53
2024-06-02 10:01:00,-6.38
2024-06-02 10:02:00,-6.38
2024-06-02 10:03:00,-6.63
2024-06-02 10:04:00,-6.45
2024-06-02 10:05:00,-6.55
2024-06-02 10:06:00,-6.45
2024-06-02 10:07:00,-6.63
2024-06-02 10:08:00,-6.65
2024-06-02 10:09:00,-6.63
2024-06-02 10:10:00,-6.66
2024-06-02 10:11:00,-6.63
2024-06-02 10:12:00,-6.67
2024-06-02 10:13:00,-6.50
2024-06-02 10:14:00,-6.55
2024-06-02 10:15:00,-6.44
2024-06-02 10:16:00,-6.32
2024-06-02 10:17:00,-6.48
2024-06-02 10:18:00,-6.37
2024-06-02 10:19:00,-6.37
2024-06-02 10:20:00,-6.20
2024-06-02 10:21:00,-6.16
2024-06-02 10:22:00,-6.25
2024-06-02 10:23:00,-6.13
2024-06-02 10:24:00,-6.07
2024-06-02 10:25:00,-6.06
2024-06-02 10:26:00,-6.06
2024-06-02 10:27:00,-5.95
2024-06-02 10:28:00,-5.88
2024-06-02 10:29:00,-5.90
2024-06-02 10:30:00,-6.05
2024-06-02 10:31:00,-5.90
2024-06-02 10:32:00,-6.02
2024-06-02 10:33:00,-6.11
2024-06-02 10:34:00,-5.99
2024-06-02 10:35:00,-6.05
2024-06-02 10:36:00,-6.12
2024-06-02 10:37:00,-5.98
2024-06-02 10:38:00,-5.98
2024-06-02 10:39:00,-6.20
2024-06-02 10:40:00,-6.09
2024-06-02 10:41:00,-6.18
2024-06-02 10:42:00,-6.11
2024-06-02 10:43:00,-6.19
2024-06-02 10:44:00,-6.17
2024-06-02 10:45:00,-6.07
2024-06-02 10:46:00,-6.07
2024-06-02 10:47:00,-6.05
2024-06-02 10:48:00,-6.03
2024-06-02 10:49:00,-6.00
2024-06-02 10:50:00,-5.90
2024-06-02 10:51:00,-5.93
2024-06-02 10:52:00,-5.85
2024-06-02 10:53:00,-5.94
2024-06-02 10:54:00,-5.89
2024-06-02 10:55:00,-5.69
2024-06-02 10:56:00,-5.72
2024-06-02 10:57:00,-5.69
2024-06-02 10:58:00,-5.79
2024-06-02 10:59:00,-5.55
2024-06-02 11:00:00,-5.71
2024-06-02 11:01:00,-5.66
2024-06-02 11:02:00,-5.59
2024-06-02 11:03:00,-5.43
2024-06-02 11:04:00,-5.65
2024-06-02 11:05:00,-5.57
2024-06-02 11:06:00,-5.60
2024-06-02 11:07:00,-5.67
2024-06-02 11:08:00,-5.47
2024-06-02 11:09:00,-5.50
2024-06-02 11:10:00,-5.70
2024-06-02 11:11:00,-5.58
2024-06-02 11:12:00,-5.51
2024-06-02 11:13:00,-5.75
2024-06-02 11:14:00,-5.57
2024-06-02 11:15:00,-5.59
2024-06-02 11:16:00,-5.74
2024-06-02 11:17:00,-5.79
2024-06-02 11:18:00,-5.77
2024-06-02 11:19:00,-5.65
2024-06-02 11:20:00,-5.62
2024-06-02 11:21:00,-5.62
2024-06-02 11:22:00,-5.70
2024-06-02 11:23:00,-5.74
2024-06-02 11:24:00,-5.72
2024-06-02 11:25:00,-5.49
2024-06-02 11:26:00,-5.64
2024-06-02 11:27:00,-5.62
2024-06-02 11:28:00,-5.47
2024-06-02 11:29:00,-5.51
2024-06-02 11:30:00,-5.24
2024-06-02 11:31:00,-5.20
2024-06-02 11:32:00,-5.31
2024-06-02 11:33:00,-5.28
2024-06-02 11:34:00,-5.23
2024-06-02 11:35:00,-5.04
2024-06-02 11:36:00,-5.10
2024-06-02 11:37:00,-5.06
2024-06-02 11:38:00,-5.18
2024-06-02 11:39:00,-5.11
2024-06-02 11:40:00,-5.18
2024-06-02 11:41:00,-5.09
2024-06-02 11:42:00,-5.02
2024-06-02 11:43:00,-5.20
2024-06-02 11:44:00,-5.12
2024-06-02 11:45:00,-5.10
2024-06-02 11:46:00,-5.22
2024-06-02 11:47:00,-5.11
2024-06-02 11:48:00,-5.26
2024-06-02 11:49:00,-5.14
2024-06-02 11:50:00,-5.10
2024-06-02 11:51:00,-5.30
2024-06-02 11:52:00,-5.33
2024-06-02 11:53:00,-5.13
2024-06-02 11:54:00,-5.17
2024-06-02 11:55:00,-5.19
2024-06-02 11:56:00,-5.24
2024-06-02 11:57:00,-5.26
2024-06-02 11:58:00,-5.24
2024-06-02 11:59:00,-5.22
2024-06-02 12:00:00,-5.19
2024-06-02 12:01:00,-5.11
2024-06-02 12:02:00,-5.09
2024-06-02 12:03:00,-4.95
2024-06-02 12:04:00,-4.90
2024-06-02 12:05:00,-4.96
2024-06-02 12:06:00,-4.84
2024-06-02 12:07:00,-4.78
2024-06-02 12:08:00,-4.88
2024-06-02 12:09:00,-4.77
2024-06-02 12:10:00,-4.75
2024-06-02 12:11:00,-4.63
2024-06-02 12:12:00,-4.73
2024-06-02 12:13:00,-4.68
2024-06-02 12:14:00,-4.69
2024-06-02 12:15:00,-4.67
2024-06-02 12:16:00,-4.77
2024-06-02 12:17:00,-4.63
2024-06-02 12:18:00,-4.71
2024-06-02 12:19:00,-4.83
2024-06-02 12:20:00,-4.68
2024-06-02 12:21:00,-4.74
2024-06-02 12:22:00,-4.87
2024-06-02 12:23:00,-4.90
2024-06-02 12:24:00,-4.77
2024-06-02 12:25:00,-4.83
2024-06-02 12:26:00,-4.71
2024-06-02 12:27:00,-4.87
2024-06-02 12:28:00,-4.80
2024-06-02 12:29:00,-4.91
2024-06-02 12:30:00,-4.88
2024-06-02 12:31:00,-4.90
2024-06-02 12:32:00,-4.85
2024-06-02 12:33:00,-4.89
2024-06-02 12:34:00,-4.74
2024-06-02 12:35:00,-4.79
2024-06-02 12:36:00,-4.69
2024-06-02 12:37:00,-4.66
2024-06-02 12:38:00,-4.56
2024-06-02 12:39:00,-4.65
2024-06-02 12:40:00,-4.58
2024-06-02 12:41:00,-4.58
2024-06-02 12:42:00,-4.37
2024-06-02 12:43:00,-4.40
2024-06-02 12:44:00,-4.31
2024-06-02 12:45:00,-4.32
2024-06-02 12:46:00,-4.41
2024-06-02 12:47:00,-4.26
2024-06-02 12:48:00,-4.19
2024-06-02 12:49:00,-4.34
2024-06-02 12:50:00,-4.34
2024-06-02 12:51:00,-4.28
2024-06-02 12:52:00,-4.19
2024-06-02 12:53:00,-4.38
2024-06-02 12:54:00,-4.30
2024-06-02 12:55:00,-4.44
2024-06-02 12:56:00,-4.38
2024-06-02 12:57:00,-4.32
2024-06-02 12:58:00,-4.48
2024-06-02 12:59:00,-4.52
2024-06-02 13:00:00,-4.41
2024-06-02 13:01:00,-4.36
2024-06-02 13:02:00,-4.41
2024-06-02 13:03:00,-4.38
2024-06-02 13:04:00,-4.49
2024-06-02 13:05:00,-4.36
2024-06-02 13:06:00,-4.39
2024-06-02 13:07:00,-4.31
2024-06-02 13:08:00,-4.29
2024-06-02 13:09:00,-4.34
2024-06-02 13:10:00,-4.27
2024-06-02 13:11:00,-4.43
2024-06-02 13:12:00,-4.15
2024-06-02 13:13:00,-4.26
2024-06-02 13:14:00,-4.14
2024-06-02 13:15:00,-4.08
2024-06-02 13:16:00,-4.02
2024-06-02 13:17:00,-3.98
2024-06-02 13:18:00,-3.92
2024-06-02 13:19:00,-4.04
2024-06-02 13:20:00,-4.06
2024-06-02 13:21:00,-3.96
2024-06-02 13:22:00,-3.86
2024-06-02 13:23:00,-3.93
2024-06-02 13:24:00,-3.79
2024-06-02 13:25:00,-3.99
2024-06-02 13:26:00,-3.78
2024-06-02 13:27:00,-3.89
2024-06-02 13:28:00,-3.80
2024-06-02 13:29:00,-3.94
2024-06-02 13:30:00,-3.97
2024-06-02 13:31:00,-3.98
2024-06-02 13:32:00,-3.93
2024-06-02 13:33:00,-3.99
2024-06-02 13:34:00,-4.03
2024-06-02 13:35:00,-4.10
2024-06-02 13:36:00,-4.17
2024-06-02 13:37:00,-4.10
2024-06-02 13:38:00,-4.05
2024-06-02 13:39:00,-4.18
2024-06-02 13:40:00,-4.10
2024-06-02 13:41:00,-4.10
2024-06-02 13:42:00,-4.00
2024-06-02 13:43:00,-4.10
2024-06-02 13:44:00,-3.87
2024-06-02 13:45:00,-3.84
2024-06-02 13:46:00,-3.98
2024-06-02 13:47:00,-3.78
2024-06-02 13:48:00,-3.89
2024-06-02 13:49:00,-3.88
2024-06-02 13:50:00,-3.80
2024-06-02 13:51:00,-3.59
2024-06-02 13:52:00,-3.68
2024-06-02 13:53:00,-3.57
2024-06-02 13:54:00,-3.53
2024-06-02 13:55:00,-3.57
2024-06-02 13:56:00,-3.51
2024-06-02 13:57:00,-3.43
2024-06-02 13:58:00,-3.45
2024-06-02 13:59:00,-3.47
2024-06-02 14:00:00,-3.60
2024-06-02 14:01:00,-3.57
2024-06-02 14:02:00,-3.54
2024-06-02 14:03:00,-3.48
2024-06-02 14:04:00,-3.43
2024-06-02 14:05:00,-3.68
2024-06-02 14:06:00,-3.64
2024-06-02 14:07:00,-3.61
2024-06-02 14:08:00,-3.60
2024-06-02 14:09:00,-3.56
2024-06-02 14:10:00,-3.73
2024-06-02 14:11:00,-3.71
2024-06-02 14:12:00,-3.75
2024-06-02 14:13:00,-3.69
2024-06-02 14:14:00,-3.76
2024-06-02 14:15:00,-3.79
2024-06-02 14:16:00,-3.78
2024-06-02 14:17:00,-3.57
2024-06-02 14:18:00,-3.53
2024-06-02 14:19:00,-3.61
2024-06-02 14:20:00,-3.52
2024-06-02 14:21:00,-3.46
2024-06-02 14:22:00,-3.44
2024-06-02 14:23:00,-3.51
2024-06-02 14:24:00,-3.37
2024-06-02 14:25:00,-3.23
2024-06-02 14:26:00,-3.23
2024-06-02 14:27:00,-3.22
2024-06-02 14:28:00,-3.25
2024-06-02 14:29:00,-3.14
2024-06-02 14:30:00,-3.11
2024-06-02 14:31:00,-3.13
2024-06-02 14:32:00,-3.11
2024-06-02 14:33:00,-3.03
2024-06-02 14:34:00,-3.06
2024-06-02 14:35:00,-3.07
2024-06-02 14:36:00,-3.21
2024-06-02 14:37:00,-3.08
2024-06-02 14:38:00,-3.08
2024-06-02 14:39:00,-3.04
2024-06-02 14:40:00,-3.10
2024-06-02 14:41:00,-3.11
2024-06-02 14:42:00,-3.10
2024-06-02 14:43:00,-3.30
2024-06-02 14:44:00,-3.25
2024-06-02 14:45:00,-3.40
2024-06-02 14:46:00,-3.37
2024-06-02 14:47:00,-3.20
